Iteration,BucketSize,BucketCount,FeatureCount
0,0,64542,0
0,1,870,870
0,2,52,104
0,3,35,105
0,4,15,60
0,5,13,65
0,7,6,42
0,9,1,9
0,11,1,11
0,12,1,12
1,0,64546,0
1,1,864,864
1,2,55,110
1,3,30,90
1,4,12,48
1,5,12,60
1,6,3,18
1,7,7,49
1,8,4,32
1,10,1,10
1,12,1,12
1,22,1,22
2,0,64602,0
2,1,828,828
2,2,55,110
2,3,20,60
2,4,14,56
2,5,3,15
2,6,4,24
2,7,4,28
2,8,2,16
2,9,1,9
2,12,1,12
2,20,1,20
2,37,1,37
3,0,64547,0
3,1,861,861
3,2,67,134
3,3,19,57
3,4,13,52
3,5,13,65
3,6,4,24
3,7,2,14
3,8,4,32
3,9,1,9
3,10,2,20
3,11,1,11
3,13,1,13
3,22,1,22
4,0,64576,0
4,1,849,849
4,2,48,96
4,3,26,78
4,4,16,64
4,5,4,20
4,6,5,30
4,7,4,28
4,8,3,24
4,9,1,9
4,10,3,30
4,11,1,11
5,0,64571,0
5,1,844,844
5,2,55,110
5,3,33,99
5,4,7,28
5,5,8,40
5,6,6,36
5,7,6,42
5,8,3,24
5,9,1,9
5,10,2,20
6,0,64597,0
6,1,830,830
6,2,58,116
6,3,20,60
6,4,14,56
6,5,8,40
6,6,2,12
6,7,4,28
6,8,2,16
6,9,1,9
7,0,64597,0
7,1,837,837
7,2,54,108
7,3,17,51
7,4,13,52
7,5,2,10
7,6,8,48
7,7,1,7
7,8,3,24
7,9,1,9
7,10,1,10
7,11,2,22
8,0,64599,0
8,1,814,814
8,2,46,92
8,3,36,108
8,4,14,56
8,5,13,65
8,6,4,24
8,7,3,21
8,8,3,24
8,10,3,30
8,11,1,11
9,0,64605,0
9,1,808,808
9,2,61,122
9,3,23,69
9,4,10,40
9,5,14,70
9,6,6,36
9,7,4,28
9,8,1,8
9,9,1,9
9,10,2,20
9,11,1,11
