Id,Name,RawLength,RleLength,RawOverRleLengthRatio,MarkerCount,MarkerDensity,MaximumMarkerOffset,Palindromic,Chimeric,AlignmentCandidates,ReadGraphNeighbors,VertexCount,VertexDensity,runid,sampleid,read,ch,start_time,
0,13,42072,29001,1.45071,2928,0.100962,79,No,No,0,0,0,0,,,,,,
1,17,16488,11382,1.4486,1163,0.102179,67,No,No,0,0,0,0,,,,,,
2,19,19569,13401,1.46026,1386,0.103425,67,No,No,0,0,0,0,,,,,,
3,20,151305,104704,1.44507,10456,0.0998625,143,No,No,0,0,0,0,,,,,,
4,24,10513,7164,1.46748,703,0.0981295,61,No,No,0,0,0,0,,,,,,
5,25,20878,14443,1.44554,1498,0.103718,62,No,No,0,0,0,0,,,,,,
6,28,81086,55785,1.45354,5718,0.102501,75,No,No,0,0,0,0,,,,,,
7,33,60889,42045,1.44819,4205,0.100012,75,No,No,0,0,0,0,,,,,,
8,41,13979,9555,1.463,999,0.104553,81,No,No,0,0,0,0,,,,,,
9,47,15469,10570,1.46348,1082,0.102365,72,No,No,0,0,0,0,,,,,,
10,48,58679,40428,1.45144,4049,0.100153,90,No,No,0,0,0,0,,,,,,
11,61,126461,87654,1.44273,8766,0.100007,132,No,No,0,0,0,0,,,,,,
12,63,26747,18345,1.458,1845,0.100572,76,No,No,0,0,0,0,,,,,,
13,71,32813,22619,1.45068,2288,0.101154,69,No,No,0,0,0,0,,,,,,
14,74,22587,15605,1.44742,1538,0.0985582,76,No,No,0,0,0,0,,,,,,
15,80,126125,87619,1.43947,8805,0.100492,167,No,No,0,0,0,0,,,,,,
16,86,15542,10760,1.44442,1117,0.10381,68,No,No,0,0,0,0,,,,,,
17,89,10069,7013,1.43576,728,0.103807,52,No,No,0,0,0,0,,,,,,
18,96,20736,14337,1.44633,1491,0.103997,74,No,No,0,0,0,0,,,,,,
19,102,19436,13457,1.4443,1333,0.0990563,64,No,No,0,0,0,0,,,,,,
