ReadId,Palindromic,Features,Sparse,Good,Crowded,Total,FeatureSampling,SparseFraction,GoodFraction,CrowdedFraction
0,No,2925,481,116,2,599,0.204786,0.803005,0.193656,0.0033389
1,No,1160,205,10,0,215,0.185345,0.953488,0.0465116,0
2,No,1383,202,79,2,283,0.204628,0.713781,0.279152,0.00706714
3,No,10453,1853,197,7,2057,0.196786,0.900826,0.0957705,0.00340301
4,No,700,92,47,1,140,0.2,0.657143,0.335714,0.00714286
5,No,1495,219,84,2,305,0.204013,0.718033,0.27541,0.00655738
6,No,5715,1027,178,2,1207,0.211199,0.85087,0.147473,0.001657
7,No,4202,686,122,3,811,0.193003,0.845869,0.150432,0.00369914
8,No,996,151,45,1,197,0.197791,0.766497,0.228426,0.00507614
9,No,1079,189,50,0,239,0.221501,0.790795,0.209205,0
10,No,4046,693,94,1,788,0.19476,0.879442,0.119289,0.00126904
11,No,8763,1626,123,5,1754,0.20016,0.927024,0.0701254,0.00285063
12,No,1842,297,55,1,353,0.19164,0.84136,0.155807,0.00283286
13,No,2285,393,72,0,465,0.203501,0.845161,0.154839,0
14,No,1535,263,31,1,295,0.192182,0.891525,0.105085,0.00338983
15,No,8802,1652,122,5,1779,0.202113,0.928612,0.0685779,0.00281057
16,No,1114,180,60,1,241,0.216338,0.746888,0.248963,0.00414938
17,No,725,98,25,1,124,0.171034,0.790323,0.201613,0.00806452
18,No,1488,229,56,1,286,0.192204,0.800699,0.195804,0.0034965
19,No,1330,260,25,1,286,0.215038,0.909091,0.0874126,0.0034965
